nom	fonction_c	taille	appels
AreaPatrolPathShowVisionCones	005b61f0	34	FUN_00471cb0@00471cb0 FUN_005d8f20@005d8f20
AreaPOICompareName	005b6a90	111	FUN_00448c70@00448c70 FUN_00576d80@00576d80 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_005d8450@005d8450
AreaPOIDeactivated	005b6bc0	62	FUN_00448c70@00448c70 FUN_005d8200@005d8200 FUN_005d8450@005d8450
AreaPOIGetActivation	005b6a40	70	FUN_00448c70@00448c70 FUN_005d8200@005d8200 FUN_005d8450@005d8450
AreaPOIGetFaction	005b6b40	57	FUN_00448c70@00448c70 FUN_005d8200@005d8200 FUN_005d8460@005d8460
AreaPOIGetGender	005b6c00	54	FUN_00448c70@00448c70 FUN_005d8200@005d8200 FUN_005d8460@005d8460
AreaPOIGetInterestType	005b6b00	57	FUN_00448c70@00448c70 FUN_005d8200@005d8200 FUN_005d8460@005d8460
AreaPOIGetMaxNumber	005b6b80	58	FUN_00448c70@00448c70 FUN_005d8200@005d8200 FUN_005d8460@005d8460
AreaPOIGetPosition	005b73d0	124	FUN_00448c70@00448c70 FUN_005d8200@005d8200 FUN_005d84b0@005d84b0
AreaPOISetActivation	005b69f0	65	FUN_004477a0@004477a0 FUN_00448c70@00448c70 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20
AreaRegisterAnimProps	005b6d60	8	FUN_00438700@00438700
AreaRegisterAreaScript	005b7530	45	FUN_00414f10@00414f10 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0
AreaRemoveExtraScene	005b5ef0	8	FUN_004297f0@004297f0
AreaRemoveSpawner	005b64a0	30	FUN_004a19d0@004a19d0 FUN_005d8580@005d8580
AreaResetPunishmentAlertLevels	005b6cd0	14	FUN_0044e0c0@0044e0c0
AreaResetPunishmentPedTypes	005b6d20	14	FUN_0044e0e0@0044e0e0
AreaRevertToDefaultPopulation	005b5ff0	14	FUN_0049c580@0049c580
AreaSetActivePatrolPathHours	005b6100	80	FUN_00471df0@00471df0 FUN_005d8200@005d8200 FUN_005ed240@005ed240
AreaSetAmbientSpawnerExclusive	005b6360	64	FUN_004a1930@004a1930 FUN_005d8580@005d8580 FUN_005d8f20@005d8f20
AreaSetDockerChanceToDock	005b6940	53	FUN_0046e890@0046e890 FUN_005d8200@005d8200 FUN_005d8580@005d8580
AreaSetDockerKidReception	005b6880	64	FUN_0046e890@0046e890 FUN_005d8580@005d8580 FUN_005d8f20@005d8f20
AreaSetDockerMinsToRunBeforeEnd	005b6900	53	FUN_0046e890@0046e890 FUN_005d8200@005d8200 FUN_005d8580@005d8580
AreaSetDockerPatrolPedReception	005b6830	67	FUN_0046e890@0046e890 FUN_005d8580@005d8580 FUN_005d8f20@005d8f20
AreaSetDockerRunPercentage	005b68c0	53	FUN_0046e890@0046e890 FUN_005d8200@005d8200 FUN_005d8580@005d8580
AreaSetDockerSexReception	005b67d0	89	FUN_0046e890@0046e890 FUN_005d8580@005d8580 FUN_005d8f20@005d8f20
AreaSetDoorLocked	005b7760	284	FUN_004e98a0@004e98a0 FUN_00576d80@00576d80 FUN_005d81e0@005d81e0 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_005d8560@005d8560 FUN_005d8580@005d8580 FUN_005d8f20@005d8f20 FUN_006d6420@006d6420 FUN_006d7870@006d7870 FUN_006d78c0@006d78c0
AreaSetDoorLockedToPeds	005b79a0	284	FUN_004e9970@004e9970 FUN_00576d80@00576d80 FUN_005d81e0@005d81e0 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_005d8560@005d8560 FUN_005d8580@005d8580 FUN_005d8f20@005d8f20 FUN_006d6480@006d6480 FUN_006d7870@006d7870 FUN_006d78c0@006d78c0
AreaSetDoorOpen	005b7be0	284	FUN_004e9a40@004e9a40 FUN_00576d80@00576d80 FUN_005d81e0@005d81e0 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_005d8560@005d8560 FUN_005d8580@005d8580 FUN_005d8f20@005d8f20 FUN_006d6500@006d6500 FUN_006d7870@006d7870 FUN_006d78c0@006d78c0
AreaSetDoorPathableToPeds	005b7d00	100	FUN_004ea270@004ea270 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20 FUN_005eaf00@005eaf00
AreaSetNodesSwitchedOffInTrigger	005b7fb0	92	FUN_00441f40@00441f40 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20
AreaSetPathableInRadius	005b6ea0	150	FUN_005d82a0@005d82a0 FUN_005d8f20@005d8f20 FUN_005ea9d0@005ea9d0
AreaSetPopulationEvaluatesTriggersIn3D	005b6e60	43	FUN_005d8f20@005d8f20
AreaSetPopulationSexGeneration	005b6000	79	FUN_005d8f20@005d8f20
AreaSetPunishmentAlertLevels	005b6c80	78	FUN_0044e090@0044e090 FUN_005d8200@005d8200
AreaSetPunishmentPedType	005b6ce0	55	FUN_0044e0b0@0044e0b0 FUN_005d8200@005d8200
AreaSetSavePointLocation	005b6fb0	231	FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8580@005d8580 FUN_00737c80@00737c80 FUN_00737de0@00737de0
AreaSetTriggerMonitoringRules	005b7f60	78	FUN_005d8200@005d8200 FUN_005d8f20@005d8f20
AreaSetVisible	00824d30	3	
AreaSignalAreaTransitionReadyToLoad	005b6f40	10	
AreaSpawnerSetSexGeneration	005b6640	79	FUN_004a1970@004a1970 FUN_005d8580@005d8580 FUN_005d8f20@005d8f20
AreaTransitionButes			pas de table
AreaTransitionDestination	005b7560	25	FUN_005d8460@005d8460
AreaTransitionDoor			pas de table
CameraActive			pas de table
CameraAllowChange	005b98d0	37	FUN_005d8f20@005d8f20
CameraAllowScriptedChange	005b9900	39	FUN_005d8f20@005d8f20
CameraBlending			pas de table
CameraClearRotationLimit	005ba3d0	43	FUN_00465690@00465690
CameraCutscenePath			pas de table
CameraCutscenePathTrack			pas de table
CameraDebugActive	005b9bd0	30	FUN_005d8450@005d8450
CameraDefaultFOV	005b99a0	23	FUN_004f1510@004f1510
CameraDesired			pas de table
CameraDesiredReset			pas de table
CameraFade	005b8ea0	128	FUN_004f1980@004f1980 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0
CameraFadeSetup			pas de table
CameraFadeSetupTrack			pas de table
CameraFadeToSplashEnd	005b8e80	32	FUN_0043ac00@0043ac00
CameraFadeToSplashSetup	005b8e30	41	FUN_0043bd90@0043bd90
CameraFadeToSplashStart	005b8e60	27	
CameraFadeTrack			pas de table
CameraFading			pas de table
CameraFollowEntity	005b92c0	65	FUN_004f2a10@004f2a10 FUN_004f3530@004f3530 FUN_005c2770@005c2770 FUN_005d8200@005d8200
CameraFollowPed	005b9280	60	FUN_004f2a10@004f2a10 FUN_004f3530@004f3530 FUN_005c7220@005c7220 FUN_005d8200@005d8200
CameraFollowPedPelvis			pas de table
CameraFollowPedPelvisAll			pas de table
CameraFreeze			pas de table
CameraFreezeTrack			pas de table
CameraGet169Mode	005b9d20	27	FUN_005d8450@005d8450
CameraGetActive	005b9bb0	25	FUN_005d8460@005d8460
CameraGetFOV	005b9930	53	FUN_005d8480@005d8480
CameraGetParametric			pas de table
CameraGetParametricTrack			pas de table
CameraHoldFadeout	005b8e10	23	FUN_005d8f20@005d8f20
CameraInWidescreen			pas de table
CameraIrisControl			pas de table
CameraIrisControlTrack			pas de table
CameraIsPointVisible	005ba080	371	FUN_00461d50@00461d50 FUN_00465690@00465690 FUN_004f1280@004f1280 FUN_005d8200@005d8200 FUN_005d8450@005d8450 FUN_006c8190@006c8190 FUN_006c9930@006c9930 FUN_006d5860@006d5860 FUN_006d6300@006d6300
CameraLock			pas de table
CameraLocked			pas de table
CameraLockTrack			pas de table
CameraLookAtObject	005b9310	120	FUN_004f3440@004f3440 FUN_00507600@00507600 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8f20@005d8f20 FUN_0073ad50@0073ad50
CameraLookAtPath	005b94d0	82	FUN_004f3440@004f3440 FUN_00507640@00507640 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20 FUN_005ed240@005ed240
CameraLookAtPathSetSpeed	005b9530	120	FUN_004f3440@004f3440 FUN_00507670@00507670 FUN_00507690@00507690 FUN_005076b0@005076b0 FUN_005d82a0@005d82a0
CameraLookatPlayer			pas de table
CameraLookAtPlayer	005b91e0	106	FUN_004f3440@004f3440 FUN_00507600@00507600 FUN_005d82a0@005d82a0 FUN_005d8f20@005d8f20 FUN_0073ad50@0073ad50
CameraLookatPlayerTrack			pas de table
CameraLookAtXYZ	005b9390	121	FUN_004f3440@004f3440 FUN_005075b0@005075b0 FUN_005d82a0@005d82a0 FUN_005d8f20@005d8f20
CameraMgrUpdate	005b9d10	13	FUN_004f37b0@004f37b0
CameraMixedPerson			pas de table
CameraPath			pas de table
CameraPathTrack			pas de table
CameraPos			pas de table
CameraPosition			pas de table
CameraReset	005b97f0	13	FUN_004f2a10@004f2a10
CameraResetToPosition	005b9800	106	FUN_004f2a80@004f2a80 FUN_005d82a0@005d82a0 FUN_005d8f20@005d8f20
CameraResetWithDirection	005b9de0	133	FUN_00414a20@00414a20 FUN_004f2a40@004f2a40 FUN_005d8200@005d8200 FUN_006d5860@006d5860 FUN_006d6300@006d6300
CameraResetWithDirection2	005b9870	86	FUN_004f2a40@004f2a40 FUN_005d82a0@005d82a0
CameraReturnToPlayer	005b8fd0	524	FUN_004304a0@004304a0 FUN_004f2a10@004f2a10 FUN_004f2a80@004f2a80 FUN_004f2ad0@004f2ad0 FUN_004f3340@004f3340 FUN_005d8370@005d8370 FUN_005d8f20@005d8f20 FUN_005d8fa0@005d8fa0 FUN_0073ad50@0073ad50
CameraSet			pas de table
CameraSetActive	005b9b30	126	FUN_004f2ad0@004f2ad0 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8f20@005d8f20 FUN_0073ad50@0073ad50 FUN_0085c6f0@0085c6f0
CameraSetConvCam	005b99c0	366	FUN_004f4c90@004f4c90 FUN_004f5560@004f5560 FUN_004f6bf0@004f6bf0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_00683ea0@00683ea0 FUN_0073ad50@0073ad50
CameraSetConversationPath	00824d30	3	
CameraSetDesiredActive			pas de table
CameraSetDesiredActiveTrack			pas de table
CameraSetFieldPoints	00824d30	3	
CameraSetFOV	005b9970	42	FUN_005d82a0@005d82a0
CameraSetHeading	00824d30	3	
CameraSetLimit			pas de table
CameraSetLimitTrack			pas de table
CameraSetNearPlane	005b9250	45	FUN_005d82a0@005d82a0 FUN_006c86c0@006c86c0
CameraSetPath	005b8f70	82	FUN_004f3440@004f3440 FUN_00507820@00507820 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20 FUN_005ed240@005ed240
CameraSetPlayerRelativePath	005b9d40	157	FUN_004f3440@004f3440 FUN_00507930@00507930 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8f20@005d8f20 FUN_005ed240@005ed240
CameraSetRelativePath	005b95b0	186	FUN_004f3440@004f3440 FUN_00507930@00507930 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8f20@005d8f20 FUN_005ed240@005ed240 FUN_006d5860@006d5860 FUN_006d6300@006d6300 FUN_0073ad50@0073ad50
CameraSetRotationLimit	005b9e70	371	FUN_005d8200@005d8200 FUN_006c8190@006c8190 FUN_006c9930@006c9930 FUN_0085c4d0@0085c4d0
CameraSetRotationLimitRel	005ba200	458	FUN_00465680@00465680 FUN_00465690@00465690 FUN_005c2770@005c2770 FUN_005d8200@005d8200 FUN_006c8190@006c8190 FUN_006c9930@006c9930 FUN_0085c4d0@0085c4d0
CameraSetRotationSpeed	005b9490	54	FUN_004f3440@004f3440 FUN_005076d0@005076d0 FUN_005d82a0@005d82a0
CameraSetSafeZone			pas de table
CameraSetSafeZoneTrack			pas de table
CameraSetSecondTarget	005b9ff0	133	FUN_00465680@00465680 FUN_00465690@00465690 FUN_005c7220@005c7220 FUN_005d8200@005d8200
CameraSetShot	005b9670	165	FUN_004f2a10@004f2a10 FUN_004f2ad0@004f2ad0 FUN_004f3340@004f3340 FUN_005d81c0@005d81c0 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_005d8f20@005d8f20 FUN_0073ad50@0073ad50
CameraSetShotOnly	005b9720	44	FUN_004f1170@004f1170 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0
CameraSetSpeed	005b9410	120	FUN_004f3440@004f3440 FUN_005076e0@005076e0 FUN_00507700@00507700 FUN_00507720@00507720 FUN_005d82a0@005d82a0
CameraSetStartPointPullback			pas de table
CameraSetStartPointPullbackTrack			pas de table
CameraSetWidescreen	005b8f20	74	FUN_005d8f20@005d8f20 thunk_FUN_0073ad50@005d8170
CameraSetXYZ	005b9bf0	274	FUN_004f2ad0@004f2ad0 FUN_004f3440@004f3440 FUN_00507b10@00507b10 FUN_005d82a0@005d82a0 FUN_005d8f20@005d8f20 FUN_0073ad50@0073ad50
CameraShake			pas de table
CameraShakeTrack			pas de table
CameraShot			pas de table
CameraShotTrack			pas de table
CameraSystem			pas de table
CameraXYZ			pas de table
CameraXYZTrack			pas de table
CameraZoomControl			pas de table
CameraZoomControlTrack			pas de table
GameCompletionStyle			pas de table
GameGetPedStat	005d4ca0	99	FUN_00476f10@00476f10 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
GameOver			pas de table
GameRestarted	005c0870	34	FUN_005d8450@005d8450
GameSetPedStat	005d4d10	83	FUN_00476fa0@00476fa0 FUN_005c7220@005c7220 FUN_005d8200@005d8200
GameTimer			pas de table
GameTimerTrack			pas de table
GameTitleMenu			pas de table
MissionActive	005bfd00	30	FUN_005d8450@005d8450 FUN_006aa680@006aa680
MissionActiveSpecific	005bfd20	113	FUN_0049a500@0049a500 FUN_005d82e0@005d82e0 FUN_005d8450@005d8450 FUN_005fa7b0@005fa7b0 FUN_006a9e70@006a9e70 FUN_006aa290@006aa290 FUN_006aa520@006aa520
MissionActiveSpecific2	005bfda0	113	FUN_0049a500@0049a500 FUN_005d82e0@005d82e0 FUN_005d8450@005d8450 FUN_005fa7b0@005fa7b0 FUN_006a9e70@006a9e70 FUN_006aa290@006aa290 FUN_006aa530@006aa530
MissionAllowAmbientTransitions	005c0f10	23	FUN_005d8f20@005d8f20
MissionAllowConcurrentMissions	005c0f30	56	FUN_005d8f20@005d8f20 FUN_006aa2d0@006aa2d0 FUN_006aa520@006aa520
MissionAskUserToStart	005c11e0	44	FUN_005d8450@005d8450 FUN_006abf90@006abf90
MissionAttemptCountInc	005c0520	91	FUN_0049a500@0049a500 FUN_005d82e0@005d82e0 FUN_005fa7b0@005fa7b0 FUN_006a9e70@006a9e70 FUN_006aa660@006aa660
MissionAvailable			pas de table
MissionBank			pas de table
MissionButtonTrigger			pas de table
MissionCanLaunch			pas de table
MissionCharTriggerTrack			pas de table
MissionCleanup			pas de table
MissionClearDisablePedTypes	005c1010	14	FUN_0049c4c0@0049c4c0
MissionCond			pas de table
MissionData			pas de table
MissionDisablePedType	005c0fd0	49	FUN_0049c4a0@0049c4a0 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20
MissionDontFadeIn	005c0790	17	FUN_006aa5b0@006aa5b0
MissionDontFadeInAfterCompetion	005c07b0	17	FUN_006aa5b0@006aa5b0
MissionDoorLockTrack			pas de table
MissionDoorTriggerTrack			pas de table
MissionFail	005bff00	241	FUN_005d82e0@005d82e0 FUN_005d8f20@005d8f20 FUN_006aa1a0@006aa1a0 FUN_006aa2d0@006aa2d0 FUN_006aa520@006aa520 FUN_006aa530@006aa530 FUN_006aa5b0@006aa5b0 thunk_FUN_0073ad50@005d8170
MissionForceCompleted	005c0740	67	FUN_0049a500@0049a500 FUN_005d82e0@005d82e0 FUN_005fa7b0@005fa7b0 FUN_006a9e70@006a9e70 FUN_006aa660@006aa660
MissionGetCurrentName	005bfea0	83	FUN_006aa290@006aa290 FUN_006aa500@006aa500 FUN_006aa5b0@006aa5b0 thunk_FUN_0073b330@005d8530 thunk_FUN_0073b3b0@005d84a0
MissionGetIndex	005bfe20	76	FUN_0049a500@0049a500 FUN_005d82e0@005d82e0 FUN_005d8460@005d8460 FUN_005fa7b0@005fa7b0 FUN_006a9e70@006a9e70
MissionGetName	005bfe70	47	FUN_005d8200@005d8200 FUN_006aa500@006aa500 thunk_FUN_0073b3b0@005d84a0
MissionGetUserStartResponse	005c1210	71	FUN_005d8460@005d8460 FUN_006abf90@006abf90
MissionInClass	005c0fb0	30	FUN_005d8450@005d8450 FUN_006aa6e0@006aa6e0
MissionItem			pas de table
MissionManager			pas de table
MissionObjectiveAdd	005c1de0	124	FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d82e0@005d82e0 FUN_005d8460@005d8460 FUN_006ae110@006ae110 FUN_006ae420@006ae420 FUN_0073ad50@0073ad50
MissionObjectiveComplete	005c1f30	39	FUN_005d8200@005d8200 FUN_006ae2f0@006ae2f0
MissionObjectiveReminderTime	005c1f90	32	FUN_005d82a0@005d82a0 FUN_006ae420@006ae420
MissionObjectiveRemove	005c1f60	39	FUN_005d8200@005d8200 FUN_006ae320@006ae320
MissionObjectiveUpdateParam	005c1e60	199	FUN_005d81c0@005d81c0 FUN_005d81e0@005d81e0 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d82e0@005d82e0 FUN_006ae230@006ae230 FUN_006ae270@006ae270 FUN_006ae2b0@006ae2b0
MissionOnly			pas de table
MissionOverrideArrestPoint	005c1020	122	FUN_004313e0@004313e0 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0
MissionOverrideKOPoint	005c10a0	122	FUN_00431420@00431420 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0
MissionPlayActionNode	005c07d0	76	FUN_005d82e0@005d82e0 FUN_005d8450@005d8450 FUN_005f48f0@005f48f0 FUN_005f59b0@005f59b0
MissionResetRespawnOverrides	005c1120	13	FUN_00431460@00431460
MissionSaveData			pas de table
MissionSetAutoRestart	005c0e50	29	FUN_005d8f20@005d8f20 FUN_006aaeb0@006aaeb0
MissionSetCompletedCount	00824d30	3	
MissionSetup			pas de table
MissionStartNextClass	005c0f70	51	FUN_005d8fa0@005d8fa0 FUN_006a9ed0@006a9ed0 FUN_006acfa0@006acfa0
MissionStopActionController	005c0820	32	FUN_005d8450@005d8450 FUN_005f3f40@005f3f40
MissionSucceed	005c0000	201	FUN_005d82a0@005d82a0 FUN_005d82e0@005d82e0 FUN_005d8f20@005d8f20 FUN_005d8fa0@005d8fa0 FUN_006aa5b0@006aa5b0 FUN_006abde0@006abde0 FUN_00707390@00707390 thunk_FUN_0073ad50@005d8170
MissionSuccessCount			pas de table
MissionSuccessCountInc	005c04b0	103	FUN_0049a500@0049a500 FUN_005d82e0@005d82e0 FUN_005fa7b0@005fa7b0 FUN_006a9e70@006a9e70 FUN_006a9ff0@006a9ff0 FUN_006aa660@006aa660
MissionSurpressMissionNameText	005c0e70	34	FUN_006aa540@006aa540 FUN_006aa5b0@006aa5b0
MissionTimerGetTimeRemaining	005c2120	67	FUN_0043f5a0@0043f5a0 FUN_005d8460@005d8460
MissionTimerHasFinished	005c20d0	67	FUN_0043f5a0@0043f5a0 FUN_005d8450@005d8450
MissionTimerPause	005c2090	39	FUN_0043f560@0043f560 FUN_005d8f20@005d8f20
MissionTimerStart	005c1fb0	49	FUN_0043f540@0043f540 FUN_0043f600@0043f600 FUN_005d8200@005d8200
MissionTimerStartFixed	005c1ff0	158	FUN_0043f540@0043f540 FUN_0043f600@0043f600 FUN_005d8200@005d8200
MissionTimerStop	005c20c0	15	FUN_0043f600@0043f600
MissionTitle			pas de table
MissionTrack			pas de table
MissionTypeClass			pas de table
MissionTypeMinigame			pas de table
MissionTypeNormal			pas de table
MissionTypeSecondary			pas de table
MissionTypeSleep			pas de table
MissionTypeTutorial			pas de table
MissionUnlocked			pas de table
MissionUpdateActionController	005c0840	38	FUN_005d8450@005d8450 FUN_005f49a0@005f49a0
