adresse	nom_propose	source
00474ac0	PedSetEffectedByGravity	liaison Lua unique
00475230	PedGetPedToTypeAttitude	liaison Lua unique
00476f10	GameGetPedStat	liaison Lua unique
00477c70	PedIsFemale	liaison Lua unique
0047b690	PedMakeMissionChar	liaison Lua unique
004858f0	PedDismissAllAllies	liaison Lua unique
00486110	PedSetCombatZoneMask	liaison Lua unique
00487a70	PedJoinCombatZone	liaison Lua unique
0048bd40	PedSetProjDest	liaison Lua unique
0048bf80	PedAddPedToIgnoreList	liaison Lua unique
0048bfa0	PedRemovePedFromIgnoreList	liaison Lua unique
0048c840	PedAreaClearOfPedsInXYZ	liaison Lua unique
0048ced0	PedGetHeadPos	liaison Lua unique
0048ea70	PedGetEmotionTowardsPed	liaison Lua unique
00490f50	PedStopSocializing	liaison Lua unique
00492490	PedSetWantsToSocializeWithPed	liaison Lua unique
00496fb0	PedGetTargetPed	liaison Lua unique
00499910	PedSetTetherToXYZ	liaison Lua unique
00499960	PedSetTetherToPed	liaison Lua unique
00499a20	PedClearAntiTether	liaison Lua unique
00499a40	PedSetAntiTetherToXYZ	liaison Lua unique
00499a80	PedSetAntiTetherToPed	liaison Lua unique
00499af0	PedSetAntiTetherToTrigger	liaison Lua unique
0049a2a0	PedWarpOutOfCar	liaison Lua unique
0049c0e0	PedGetRandomModelId	liaison Lua unique
0049c460	AreaOverridePopulation	liaison Lua unique
0049c4a0	MissionDisablePedType	liaison Lua unique
0049c4c0	MissionClearDisablePedTypes	liaison Lua unique
0049c580	AreaRevertToDefaultPopulation	liaison Lua unique
0049e710	PedFindRandomPed	liaison Lua unique
0049ee10	AreaActivatePopulationTrigger	liaison Lua unique
0049ee50	AreaDeactivatePopulationTrigger	liaison Lua unique
0049ee90	AreaDeteriorateAttitudeForPopTriggerPedType	liaison Lua unique
004a1930	AreaSetAmbientSpawnerExclusive	liaison Lua unique
004a19d0	AreaRemoveSpawner	liaison Lua unique
004a6190	PedRemoveBroadcastStimulus	liaison Lua unique
004a6520	PedCreateStimulus	liaison Lua unique
004c70b0	VehicleBikeGeneratorToggle	liaison Lua unique
004c7390	VehicleCreateCarGenerator	liaison Lua unique
004cb0e0	VehicleDontCleanup	liaison Lua unique
004d2530	AreaClearAllExplosions	liaison Lua unique
004d9640	WeaponRequestModel	liaison Lua unique
004f1170	CameraSetShotOnly	liaison Lua unique
004f1510	CameraDefaultFOV	liaison Lua unique
004f1980	CameraFade	liaison Lua unique
004f2a40	CameraResetWithDirection2	liaison Lua unique
004f2a80	CameraResetToPosition	liaison Lua unique
004f37b0	CameraMgrUpdate	liaison Lua unique
0051b300	WeaponGetType	liaison Lua unique
00522780	PedGetUniqueModelStatus	liaison Lua unique
00532ee0	VehicleRequestModel	liaison Lua unique
00553690	PedHideHealthBar	liaison Lua unique
0055bb20	PlayerWeaponHudLock	liaison Lua unique
0055c780	PlayerUnequip	liaison Lua unique
00570070	AreaIsCollisionLoaded	liaison Lua unique
0058d7b0	SoundBoxingCrowdSoundPlayBoo	liaison Lua unique
0058d7f0	SoundBoxingCrowdSoundPlayCheer	liaison Lua unique
0058d910	SoundBoxingCrowdSoundSetExcitementLevel	liaison Lua unique
0058d930	SoundBoxingCrowdSoundStart	liaison Lua unique
0058d970	SoundBoxingCrowdSoundKill	liaison Lua unique
00590490	SoundPlayPreloadedStream	liaison Lua unique
005911e0	SoundPlayMissionEndMusic	liaison Lua unique
00591330	SoundStopStream	liaison Lua unique
00591920	SoundStopInteractiveStream	liaison Lua unique
00593c30	SoundSetScriptedAmbience	liaison Lua unique
00593c70	SoundClearScriptedAmbience	liaison Lua unique
00594f60	SoundStopFireAlarm	liaison Lua unique
005957d0	SoundStartFireAlarm	liaison Lua unique
00595be0	SoundInitScreamer	liaison Lua unique
0059e490	SoundFadeWithCamera	liaison Lua unique
0059e780	SoundEnableSpeech	liaison Lua unique
0059fb40	SoundDisableSpeech	liaison Lua unique
005a0850	SoundClearSpeechFilter	liaison Lua unique
005c6120	PedSetTetherSpeed	liaison Lua unique
005c61e0	PedRequestModel	liaison Lua unique
005c6460	PedIsFacingXYZ	liaison Lua unique
005d0080	PedSetIsStealthMissionPed	liaison Lua unique
005d2960	PlayerCreateXYZ	liaison Lua unique
005d7710	VehicleCreateXYZ	liaison Lua unique
005d7db0	VehicleSetOwner	liaison Lua unique
005ea9d0	AreaSetPathableInRadius	liaison Lua unique
005f4840	PedMePlaying	liaison Lua unique
00602dc0	PedIsSpotted	liaison Lua unique
00683de0	PedInConversation	liaison Lua unique
006aa500	MissionGetName	liaison Lua unique
006aa680	MissionActive	liaison Lua unique
006aa6e0	MissionInClass	liaison Lua unique
006aaeb0	MissionSetAutoRestart	liaison Lua unique
006ae2f0	MissionObjectiveComplete	liaison Lua unique
006ae320	MissionObjectiveRemove	liaison Lua unique
006ae420	MissionObjectiveReminderTime	liaison Lua unique
006ae8b0	AreaEnsureSpecialEntitiesAreCreated	liaison Lua unique
006c86c0	CameraSetNearPlane	liaison Lua unique
0043f5a0	MissionTimerGetTimeRemaining|MissionTimerHasFinished	plusieurs liaisons Lua
00445ce0	PlayerChangePhysicalState|PlayerResetPhysicalState	plusieurs liaisons Lua
00475150	PedSetMoney|PlayerSetMoney	plusieurs liaisons Lua
00476fa0	GameSetPedStat|PedOverrideStat	plusieurs liaisons Lua
004773d0	PedSetPunishmentPoints|PlayerSetPunishmentPoints	plusieurs liaisons Lua
00478190	PedSetHealth|PlayerSetHealth	plusieurs liaisons Lua
0047b6b0	PedApplyDamage|PedPlayHitReaction	plusieurs liaisons Lua
004998f0	PedClearTether|PedFreeFromTrigger	plusieurs liaisons Lua
004999e0	PedRestrictToTrigger|PedSetTetherToTrigger	plusieurs liaisons Lua
004a1970	AreaAddSpawnLocation|AreaSpawnerSetSexGeneration	plusieurs liaisons Lua
004cb0a0	VehicleEnableSiren|VehicleSirenAllwaysOn	plusieurs liaisons Lua
0051c040	PedSwapModel|PlayerSwapModel	plusieurs liaisons Lua
00591230	SoundPreloadStream|SoundPreloadStreamNoLoop	plusieurs liaisons Lua
00591280	SoundFadeoutAmbience|SoundFadeoutStream	plusieurs liaisons Lua
005ca7b0	PedMakeAmbient|PedMakeAmbientKeepResources	plusieurs liaisons Lua
005f3bf0	PedIsDoingTask|PedIsPlaying	plusieurs liaisons Lua
006abf90	MissionAskUserToStart|MissionGetUserStartResponse	plusieurs liaisons Lua
00469090	CPhysical::Add	lecture du corps
0046a620	CPhysical::Remove	lecture du corps
00468f90	CPhysical::GetBoundRect	lecture du corps
00465cd0	CEntity::SetModelIndexNoCreate	lecture du corps
004661a0	CEntity::CreateRwObject	lecture du corps
00465cc0	CEntity::GetBoundRadius	lecture du corps
004cb1a0	CVehicle::SetStatus	lecture du corps
004c5ec0	CBike::SetModelIndex	lecture du corps
004b9ed0	CBike::GetComponentWorldPosition	lecture du corps
004b9450	CBike::IsComponentPresent	lecture du corps
004bda90	CBike::SetComponentRotation	lecture du corps
004b9b60	CBike::RemoveRefsToVehicle	lecture du corps
004b9960	CBike::PlayCarHorn	lecture du corps
00477480	CPed::IncPunishmentPoints	lecture du corps
00477530	CPed::ProcessPunishmentDecay	lecture du corps
0049a6a0	CPlayerPed::ProcessPunishmentDecay	lecture du corps
004773d0	CPed::SetPunishmentPoints	lecture du corps
004ce410	FindPlayerPed	lecture du corps
0085c6f0	_ftol	lecture du corps : conversion flottant → entier, appelée partout ; d'abord prise à tort pour CWorld::GetSectorIndex
005ee6d0	GameMalloc	lecture du corps
00471240	CPed::PushObjective	lecture du corps
005c2770	LuaGetEntity	lecture du corps
00576d80	HashString	lecture du corps
006d5860	CPointPool::GetByHandle	lecture du corps
006d6300	CPointPool::GetSlot	lecture du corps
0042ec80	CGame::InitialiseOnceAfterRW	lecture du corps
0045b250	CSurfaceTable::Initialise	lecture du corps
004ca5b0	cHandlingDataMgr::Initialise	lecture du corps
0045b120	CHardness::Initialise	lecture du corps
0043c3a0	LoadingScreen	lecture du corps
0049a0a0	CPedStats::Initialise	lecture du corps
0049a180	CPedStats::Reload	lecture du corps
00499d80	CPedStats::ParseLine	lecture du corps
0042d110	CFileMgr::OpenFile	lecture du corps
0042d030	CFileMgr::LoadFile	lecture du corps
0042d1e0	CFileMgr::Read	lecture du corps
0042d1b0	CFileMgr::Seek	lecture du corps
0042d300	CFileMgr::CloseFile	lecture du corps
00429ac0	CFileLoader::LoadLine	lecture du corps
005eef40	CMemoryHeap::Push	lecture du corps
005eefa0	CMemoryHeap::Pop	lecture du corps
00529230	CSpecialFX::Init	lecture du corps
0049a500	Nop	lecture du corps
0042ee90	CGame::Initialise	lecture du corps
0051c1e0	GetModelIndexByName	lecture du corps
0051ad50	GetWeaponIdByName	lecture du corps
00488a00	GetCharacterClassId	lecture du corps
005355b0	CVehicleModelInfo::LoadVehicleColours	chaîne de fichier référencée
0051c0b0	FindVehicleModelInfoByName	chaîne de fichier référencée
004264c0	CFileStream::Open	chaîne de fichier référencée
0042d4b0	CFileStream::ReadLine	chaîne de fichier référencée
004c9d30	cHandlingDataMgr::LoadHandlingData	chaîne de fichier référencée
00499ff0	CPedType::LoadPedData	chaîne de fichier référencée
004439e0	LoadColours	chaîne de fichier référencée
0049c280	CPopulation::LoadPedPop	chaîne de fichier référencée
0041a5a0	LoadVehPop	chaîne de fichier référencée
006cc2f0	LoadCloths	chaîne de fichier référencée
004d0c90	CObjectData::Initialise	chaîne de fichier référencée
004c9ad0	cHandlingDataMgr::ConvertDataToGameUnits	lecture du corps
004c9ca0	cHandlingDataMgr::ConvertBikeDataToGameUnits	lecture du corps
004c9a20	cHandlingDataMgr::FindExactWord	lecture du corps
004d0a60	CObjectData::ParseVolumeTable	lecture du corps
004d0bc0	CObjectData::PostInit	lecture du corps
0061a310	CTokenizer::Init	lecture du corps
0061a370	CTokenizer::Next	lecture du corps
0061a250	CTokenizer::Copy	lecture du corps
0061a430	CTokenizer::AsLong	lecture du corps
0061a460	CTokenizer::AsFloat	lecture du corps
00667a00	GetEffectIdByName	lecture du corps
00597e70	GetSoundBankIdByName	lecture du corps
00595a30	GetSoundIdByName	lecture du corps
005a7c10	GetStreamIdByName	lecture du corps
0044d1d0	CPools::Initialise	lecture du corps
0045d430	CWorld::Initialise	lecture du corps
0043e910	InitModelIndices	lecture du corps
00444900	CPickups::Init	lecture du corps
0073a740	CdStreamAddImage	lecture du corps
0042cd30	CFileLoader::LoadLevel	lecture du corps
00429ce0	CFileLoader::LoadModelInfoFile	lecture du corps
005f2580	CTxdStore::AddTxdSlot	lecture du corps
0049b1b0	CPlayerPed::CPlayerPed	lecture du corps
0044bf70	CAutomobile::CAutomobile	lecture du corps
004ceb60	CBuilding::CBuilding	lecture du corps
004cecb0	CTreadable::CTreadable	lecture du corps
00465000	CDummy::CDummy	lecture du corps
004cf2c0	CObject::CObject	lecture du corps
00449400	CProjectile::CProjectile	lecture du corps
004ced10	CCutsceneObject::CCutsceneObject	lecture du corps
0044cb00	CPropAnim::CPropAnim	lecture du corps
004a6cf0	CAccessory::CAccessory	lecture du corps
004494f0	SFXItem::SFXItem	lecture du corps
00468800	EffectProxyAttach::EffectProxyAttach	lecture du corps
0046f120	CAttitudeSet::CAttitudeSet	lecture du corps
007312b0	IKBlendDriverGroup::IKBlendDriverGroup	lecture du corps
00733170	JointConstraint::JointConstraint	lecture du corps
00449fb0	FloorMotionDriver::FloorMotionDriver	lecture du corps
0044a1a0	ReachDriver::ReachDriver	lecture du corps
0044a780	CPedPool::CPedPool	lecture du corps
0044ca40	CVehiclePool::CVehiclePool	lecture du corps
0044a610	CPtrNodePool::CPtrNodePool	lecture du corps
0044a700	CEntryInfoNodePool::CEntryInfoNodePool	lecture du corps
0042caf0	CFileLoader::LoadImgIde	lecture du corps
0042c970	CFileLoader::LoadIdeBinary	lecture du corps
0042d150	CFileMgr::ReadExact	lecture du corps
005f0a30	CFileMgr::SetImagePath	lecture du corps
00429c70	CTxdStore::AddTxdSlot	lecture du corps
005f1650	CTxdStore::LoadTxd	lecture du corps
0050ee20	CSkyDome::Load	lecture du corps
00463e10	CFileLoader::AfterLevel	lecture du corps
0042bfd0	CFileLoader::LoadPedObjectsBinary	lecture du corps
0042aa20	CFileLoader::LoadObjectTypesBinary	lecture du corps
0042af80	CFileLoader::LoadTimeObjectsBinary	lecture du corps
00429ee0	CFileLoader::LoadWeaponObjectsBinary	lecture du corps
0042a160	CFileLoader::LoadVehicleObjectsBinary	lecture du corps
0042b610	CFileLoader::Load2dEffectsBinary	lecture du corps
0042a4d0	CFileLoader::LoadPropAnimsBinary	lecture du corps
0042a6a0	CFileLoader::LoadClothingBinary	lecture du corps
0042b400	CFileLoader::LoadItemsBinary	lecture du corps
0042a080	CFileLoader::LoadAccessoriesBinary	lecture du corps
0042b510	CFileLoader::LoadCashOrScndBinary	lecture du corps
0052dc50	RegisterModelRange	lecture du corps
0051c810	CModelInfo::AddPedModel	lecture du corps
0051b210	CModelInfo::ReplacePedModel	lecture du corps
